序号,点数,位置[误差]（毫米） - 加注口,位置[误差]（毫米） - 回收口,角度[误差]（度） - 加注口,角度[误差]（度） - 回收口,计算时长
1,1362000,"(-141.613, 110.092, 1081.86)","(268.641, 108.426, 1079.42)","(54.8114, -0.00341889, -0.00266478)","(68.6403, 0.0205969, 0.00939655)",0.647552
2,1366800,"(11.9446, 110.403, 1081.87)","(430.063, 90.5296, 1080.91)","(53.8154, 0.00549959, -0.00387655)","(69.1924, -0.00322074, 0.00407058)",0.658168
3,1366800,"(16.7423, 111.505, 1081.18)","(424.878, 87.3306, 1080.99)","(50.3142, -0.00716525, -0.00366797)","(71.0087, -0.00965249, -0.00385179)",0.667135
4,1360800,"(13.305, 104.564, 1081.98)","(424.229, 94.384, 1080.03)","(50.731, 0.00255385, 0.0266887)","(71.0658, -0.00381549, -0.0145983)",0.65793
5,1352400,"(-375.353, 119.843, 1088.22)","(37.1513, 114.403, 1082.19)","(53.4232, -0.00459323, -0.0021168)","(67.0044, -0.00816813, -0.00584359)",0.452935
6,1346400,"(-250.107, 111.525, 1156.71)","(143.626, 101.983, 1260.73)","(52.0149, 0.260691, 0.00206664)","(75.8212, -0.266961, -0.010442)",0.369214
7,1350000,"(-251.195, 122.293, 1155.67)","(147.626, 101.612, 1262.95)","(47.0265, 0.254097, -0.00357214)","(74.7472, -0.273422, 0.00156045)",0.365663
8,1345200,"(-79.0888, 110.676, 1231.16)","(328.515, 87.4689, 1182.72)","(55.5871, 0.117487, -0.0259641)","(62.7674, 0.1087, -0.0104748)",0.240574
9,1363200,"(-73.0535, 100.653, 1230.84)","(323.467, 97.0238, 1183.47)","(47.6659, -0.106179, 0.0102857)","(71.9346, 0.120056, -0.0133039)",0.264494
